state,plate_title,plate_img
AL,"Disabled Veteran US Marine Corps",DISABLED-VETERAN-MARINE-CORP.jpg
AL,"Disabled Veteran US Merchant Marine",DISABLED-VETERAN-MERCHANT-MARINES.jpg
AL,"Disabled Veteran US National Guard",DV-National-Guard-passenger-2022.jpg
AL,"Disabled Veteran US Navy",DISABLED-VETERAN-NAVY.jpg
AL,"Distinguished Flying Cross",Distinguished-Flying-Cross.jpg
AL,"Don’t Tread on Me",Dont-Tread-on-Me-2020-1.jpg
AL,"Donate Life Alabama",Donate-Life-00000-scaled-1.jpg
AL,"Ducks Unlimited",AL-Ducks-Unlimited-2022.jpg
AL,"Educator/Retired Educator",Educator-2023.jpg
AL,"Emergency Medical Services",EMS.jpg
AL,"Environmental",190802_Environmental_tag_page.jpg
AL,"Farm",Farm-truck.jpg
AL,"Faulkner University",FaulknerUniversity2019v2_CollPlate_page.jpg
AL,"Fighting Cystic Fibrosis",Cystic-Fibrosis-2023-1.jpg
AL,"Firefighter",190802_Firefighter_tag_page.jpg
AL,"Florida State University",Floriday-State-University-2021.jpg
AL,"Ford Racing",Ford-Racing-2023.jpg
AL,"Forest Products",Forest-Product-Truck.jpg
AL,"Forever Wild",190802_ForeverWild_tag_page.jpg
AL,"FORT Fleet",Fleet-2022-2027-scaled-1.jpeg
AL,"Fraternal Order of Police",Fraternal-Order-of-Police-2023.jpg
AL,"Freemason",Freemason-2022.jpg
AL,"Freshwater Fishing",Freshwater-Fishing-2020-1.jpg
AL,"Friends of Coal",Friends-of-Coal-2022.jpg
AL,"Gadsden State Community College",Gadsden-State-Comm-scaled-1.jpg
AL,"Global War on Terrorism",LIcensePlate_Military_GlobalWarTerrorism.jpg
AL,"God Bless America",LicensePlate_Specilaty_GodBlessAmerica2013.jpg
AL,"Government Loaned",LicensePlate_Governement_GovtLoaned.jpg
AL,"GYN Cancer Awareness",GYN-2020-2.jpg
AL,"Habitat for Humanity",Habitat_for_Humanity_page.jpg
AL,"Help End Epilepsy",Help-End-Epilepsy-2021.jpg
AL,"Helping Schools",190802_HelpingSchools_tag_page.jpg
AL,"Hope for Kids with Diabetes",HOPE-FOR-KIDS-WITH-DIABETES-2020-1.jpg
AL,"Huntingdon College",HUNT2019_CollPlate_page.jpg
AL,"Huntsville Hospital",190802_HuntsvilleHospital_tag_page.jpg
